Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:23
879449d4-6e7a-11ef-b97a-325096b39f47,,6/6,,,Misc,N/A,,,
87944bd2-6e7a-11ef-9b64-325096b39f47,,6/9,,,Misc,N/A,,,
87944c4a-6e7a-11ef-bf26-325096b39f47,,6/12,,,Misc,N/A,,,
87944ca4-6e7a-11ef-8d13-325096b39f47,,6/18,,,Misc,N/A,,,
87944cea-6e7a-11ef-8d0c-325096b39f47,,6/24,,,Misc,N/A,,,
87944d3a-6e7a-11ef-871d-325096b39f47,,6/36,,,Misc,N/A,,,
87944d80-6e7a-11ef-8f9d-325096b39f47,,6/60,,,Misc,N/A,,,
87944dc6-6e7a-11ef-8598-325096b39f47,,3/60,,,Misc,N/A,,,
87944e0c-6e7a-11ef-8923-325096b39f47,,1/60,,,Misc,N/A,,,
87944e5c-6e7a-11ef-b309-325096b39f47,,NPL,,,Misc,N/A,,,
87944ea2-6e7a-11ef-baee-325096b39f47,,PL+,,,Misc,N/A,,,
87944ee8-6e7a-11ef-b3c1-325096b39f47,,<6/60,,,Misc,N/A,,,
87944f2e-6e7a-11ef-8b05-325096b39f47,,>6/60,,,Misc,N/A,,,
effd19d2-2c80-419a-97af-f09d734d996c,,Right eye Vision without Glasses,Right eye Vision without Glasses,Patient's  right eye visual acuity without glasses ,Question,Coded,6/6;6/9;6/12;6/18;6/24;6/36;6/60;3/60;1/60;NPL;PL+;<6/60;>6/60,,
df8580d8-471d-4100-aadf-27af5bb42d80,,Left eye Vision without Glasses,,Patient's  left eye visual acuity without glasses ,Question,Coded,6/6;6/9;6/12;6/18;6/24;6/36;6/60;3/60;1/60;NPL;PL+;<6/60;>6/60,,
5a36365e-f24c-4fdb-82f4-881256221909,,Right eye vision with glasses,,Patient's  right eye visual acuity with glasses ,Question,Coded,6/6;6/9;6/12;6/18;6/24;6/36;6/60;3/60;1/60;NPL;PL+;<6/60;>6/60,,
