Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers
0e1e97ab-41fe-4af6-954d-b43c4fc617dd,,"Complaints, History",Complaints,Patient's presenting complaints,Question,Text,
ee0e58e6-c416-430e-ad7d-9e35b5005852,,"History, History",History,History of presenting illness,Question,Text,
ecfb049d-ad4f-413f-a86a-f17e21f4ccb4,,"History,Ophthalmology",History,,Misc,N/A,
8dad4d67-9924-4852-93f3-79cb97ab957d,,"Diabetes, Systemic Examination ",Diabetes,Whether the patient has diabetes,Question,Boolean,
661ab897-bee5-4caf-82d3-ac4f568e81b4,,"Hypertension, Systemic Examination ",Hypertension,Whether the patient has hypertension,Question,Boolean,
a5fa1f21-3c95-4a00-9b5b-1c59a44576e4,,"Cardiac, Systemic Examination ",Cardiac,Whether the patient has any cardiac illness,Question,Boolean,
5fe9d89c-30e8-4a38-9fc6-e6148bd96365,,"Renal Diseases, Systemic Examination ",Renal Disease,Whether the patient has renal diseases,Question,Boolean,
882551c6-2b72-4876-9b8b-168f7d418ce6,,"Asthma, Systemic Examination ",Asthma,Whether the patient has asthma,Question,Boolean,
e031d40b-5aa9-46ea-933d-d5686b65165b,,"Allergies, Systemic Examination ",Allergies,Whether the patient has any allergies,Question,Boolean,
59db8535-3275-4985-bd08-61afe6a98c08,,"Other, Systemic Examination ",Other,Whether the patient has any other systemic illness,Question,Boolean,
78a5d708-84d7-47eb-a1d2-021b5cda2c34,,Systemic Examination,,,Misc,N/A,
1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Normal,,,Misc,N/A,
118506AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Esotropia,,,Misc,N/A,
118507AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Esophoria,,,Misc,N/A,
140914AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Exotropia,,,Misc,N/A,
118473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Exophoria,,,Misc,N/A,
30ecbc61-0fd7-4f9c-b926-96d921494af4,,"Near, Cover Uncover Test ",Near,Detects a tropia (constant eye turn),Question,Coded,Normal;Esotropia;Esophoria;Exotropia;Exophoria
a916e48c-0405-4db0-be48-34470f3363f6,,"Far, Cover Uncover Test",Far,Detects a tropia (constant eye turn),Question,Coded,Normal;Esotropia;Esophoria;Exotropia;Exophoria
67956d2c-4c0f-4ade-a4a5-7636ec5bf9b5,,Cover Uncover Test,,,Misc,N/A,
f076db34-b98a-4a29-a57b-e2fb5b902bda,,"Other, Alternate Cover Test",Other,,Misc,N/A,
536164ad-6a4f-4f21-8431-7360301dc7f8,,Alternate Cover Test,Alternate Cover Test,Detects both phorias (latent eye misalignment) and tropias,Question,Coded,"Normal;Esotropia;Esophoria;Exotropia;Exophoria;Other, Alternate Cover Test"
a4266908-a94f-409d-b244-3d3c8390dd4a,,5PD,5PD,,Misc,N/A,
43029355-9491-43bb-9d20-1a050cce7e7f,,10PD,10PD,,Misc,N/A,
bb5a5d77-8994-42a9-8a7e-651b80d49391,,15PD,15PD,,Misc,N/A,
4c8b36e1-e786-4f91-aebe-80e3a0e330f0,,20PD,20PD,,Misc,N/A,
32ea09e8-db7f-44ff-bfe4-15b4da7ec8f1,,25PD,25PD,,Misc,N/A,
b21e5943-5c7c-4b3e-86f9-ed944f7fd3ad,,30PD,30PD,,Misc,N/A,
4af315d9-2f3c-4a1c-afd7-f80e2154aa11,,35PD,35PD,,Misc,N/A,
262001eb-f91c-4c9f-a09d-0f74db2074a9,,40PD,40PD,,Misc,N/A,
a8157e62-1e4e-4ab5-91e0-00ae5893b3e5,,45PD,45PD,,Misc,N/A,
c0ef10ae-2ade-4e6b-873a-cd3eac8e8876,,50PD,50PD,,Misc,N/A,
c8b0a0ff-8d91-4cda-aa3c-8c20741b4e26,,55PD,55PD,,Misc,N/A,
8d54ee91-33df-4464-a51c-c1c083fe102d,,60PD,60PD,,Misc,N/A,
1aa05b97-0774-4077-aa92-df7a593a2e2c,,65PD,65PD,,Misc,N/A,
50ab2981-61fe-47de-8335-048bc59bd9d7,,70PD,70PD,,Misc,N/A,
73418e02-06ee-40a5-b5f8-eb03b1376f25,,75PD,75PD,,Misc,N/A,
30980356-f70c-4739-978d-41ee455ca7da,,80PD,80PD,,Misc,N/A,
b127b540-4042-4ca1-bdd2-90df376360bd,,85PD,85PD,,Misc,N/A,
5ca1e7ad-27ba-4d5f-8505-ee331d28c510,,90PD,90PD,,Misc,N/A,
0134490a-1a95-4e67-85d5-abbfb10e21ec,,Prism Cover Test,Prism Cover Test,Measures the amount of eye deviation,Question,Coded,5PD;10PD;15PD;20PD;25PD;30PD;35PD;40PD;45PD;50PD;55PD;60PD;65PD;70PD;75PD;80PD;85PD;90PD
a5484d57-5f73-45ab-b48a-2f96352b6f12,,Cover Test,,,Misc,N/A,
056b610b-0d7c-4eaa-9216-dbc01a08d754,,Eye turned inward,Eye turned inward,,Misc,N/A,
0cee1064-72db-4524-a34b-b6632266a1d6,,Eye turned outward,Eye turned outward,,Misc,N/A,
1214efa6-5dce-492e-a5e7-9e1ee88bc16b,,Eye turned upward,Eye turned upward,,Misc,N/A,
f97c8600-cea4-491f-9798-a49fd398140d,,Eye turned downward,Eye turned downward,,Misc,N/A,
14366398-9500-4105-9a9f-947ea0cfa13a,,Hirchberg Test,Hirchberg Test,Detects strabismus,Question,Coded,Normal;Eye turned inward;Eye turned outward;Eye turned upward;Eye turned downward
95b59304-7d85-4fc0-8d02-a4f01495d993,,<10PD,<10PD,,Misc,N/A,
bccd7faf-b976-4816-a166-1ff2164dfc65,,>90PD,>90PD,,Misc,N/A,
ad35f0f8-cb47-4182-a498-f8c4e21eef2d,,Krimsky Test,Krimsky Test,Quantifies the degree of eye deviation,Question,Coded,<10PD;10PD;15PD;20PD;25PD;30PD;35PD;40PD;45PD;50PD;55PD;60PD;65PD;70PD;75PD;80PD;85PD;90PD;>90PD
87180b18-f59f-458c-bfce-72662824db3d,,6CM,6CM,,Misc,N/A,
5fd4c1af-4a78-4f61-80af-091502f64770,,7CM,7CM,,Misc,N/A,
505e4e89-9936-441e-ab4a-3c676dd7469e,,8CM,8CM,,Misc,N/A,
ca8cbd87-f14d-4d24-985f-87b0e8c3b980,,9CM,9CM,,Misc,N/A,
